id,dcc_dept,dcc_centro,dcc_PermisosDept,pub_date,CC
1,Flujo y Volumen,Fisica,1,2021-01-03 19:36:00.406371,222
2,Termodinámica,Fisica,1,2021-01-03 19:47:41.431015,221
3,Patrones cuanticos,Fisica,1,2021-01-03 19:47:59.161024,220
4,outside,Not Here,0,2021-01-03 19:47:59.161024,0
